This is a List of All Asset IDs
as the Decompiler often has to use an Asset's ID
because it can only GUESS what is an Asset and what is just a Number

Base Project Files:
1020 - spr_costumerpizza
1021 - spr_transitionufo
1022 - spr_player_ufotransition
1023 - sprite1020
1024 - spr_doorA
1025 - sprite1022
1026 - sprite1023
1027 - sprite1024
1028 - sprite1025
1029 - sprite1029
1030 - sprite1030
1031 - sprite1033
1032 - sprite1034
1033 - sprite1039
--------------------- OBJECTS ---------------------
0 - obj_solid
1 - obj_slope
2 - obj_player
3 - obj_player1
4 - obj_player2
5 - obj_pause
6 - obj_music
7 - obj_tv
8 - obj_bosshealth
9 - obj_camera
10 - obj_camera2
11 - obj_destructibles
12 - obj_bigdestructibles
13 - obj_saveroom
14 - obj_panicdebris
15 - obj_controller
16 - obj_stylebar
17 - obj_parrallax
18 - obj_secretfound
19 - obj_title
20 - obj_mainmenuselect
21 - obj_option
22 - obj_keyconfig
23 - obj_cursor
24 - obj_menuselections
25 - obj_hard
26 - obj_controls
27 - obj_file1
28 - obj_file3
29 - obj_file2
30 - obj_pizzastand
31 - obj_mouthhitbox
32 - obj_cutscene_upstairs
33 - obj_rank
34 - obj_timesup
35 - obj_rockcutscene
36 - obj_titlecutscene
37 - obj_noise_pushbutton
38 - obj_ufotransition
39 - obj_bomb
40 - obj_bombexplosion
41 - obj_hookshot
42 - obj_swordhitbox
43 - obj_slaphitbox
44 - obj_slaphitbox2
45 - obj_shotgunbullet
46 - obj_hurtbox
47 - obj_pistolbullet
48 - obj_firemouth_projectile
49 - obj_swingdinghitbox
50 - obj_baddiecollisionbox
51 - obj_boss
52 - obj_baddie
53 - obj_baddiedead
54 - obj_pizzagoblinbomb
55 - obj_robotknife
56 - obj_spitcheesespike
57 - obj_pineahitbox
58 - obj_sausagemancigar
59 - obj_forkhitbox
60 - obj_pepgoblin_kickhitbox
61 - obj_kentukykenny_projectile
62 - obj_pizzard_bolt
63 - obj_sausageman_dead
64 - obj_enemybird
65 - obj_slimedead
66 - obj_enemybandaid
67 - obj_cheeseslime
68 - obj_pizzice
69 - obj_pizzaboy
70 - obj_cheeserobot
71 - obj_robot
72 - obj_kentukykenny
73 - obj_pizzagoblin
74 - obj_pizzard
75 - obj_pepgoblin
76 - obj_piraneapple
77 - obj_coolpinea
78 - obj_bigcheese
79 - obj_pizzaball
80 - obj_spitcheese
81 - obj_trash
82 - obj_invtrash
83 - obj_peasanto
84 - obj_ninja
85 - obj_forknight
86 - obj_ancho
87 - obj_indiancheese
88 - obj_fencer
89 - obj_noisey
90 - obj_sausageman
91 - obj_grandpa
92 - obj_baddiespawner
93 - obj_pepperman
94 - obj_peppermandestroyable
95 - obj_peppermancharge
96 - obj_fakepeppino
97 - obj_crushershockwave
98 - obj_noisecrusher
99 - obj_pepperbombspawner
100 - obj_peppermanbomb
101 - obj_ladder
102 - obj_platform
103 - obj_destroyable
104 - obj_secretblock
105 - obj_desertdestroyable
106 - obj_destroyable2
107 - obj_destroyable3
108 - obj_secretbigblock
109 - obj_metalblock
110 - obj_destroyable2_big
111 - obj_cheeseballblock
112 - obj_bombblock
113 - obj_reverseminipillar
114 - obj_minipillar
115 - obj_spike
116 - obj_movingoutlet
117 - obj_null
118 - obj_unclimbablewall
119 - obj_grindrail
120 - obj_targetblock
121 - obj_shotgunpickup
122 - obj_shotgun
123 - obj_breakabletv
124 - obj_treasure
125 - obj_pizzaboxunopen
126 - obj_collect
127 - obj_pizzakinsausage
128 - obj_pizzakinshroom
129 - obj_pizzakincheese
130 - obj_pizzakintomato
131 - obj_pizzakinpineapple
132 - obj_noisebomb
133 - obj_pizzacoin
134 - obj_bigcollect
135 - obj_giantcollect
136 - obj_clockcollectibles
137 - obj_key
138 - obj_clockcollectibles2
139 - obj_pizzaslice
140 - obj_phonebooth
141 - obj_hungrypillar
142 - obj_exitgate
143 - obj_portalentrance
144 - obj_portalend
145 - obj_costumerdoor
146 - obj_costumer
147 - obj_costumerpizza
148 - obj_cheeseball
149 - obj_wetfloor
150 - obj_noisebombspawner
151 - obj_slipnslide
152 - obj_superspring
153 - obj_beartrap
154 - obj_balloon
155 - obj_bowlingball
156 - obj_skateboard
157 - obj_pizzacutterthwomp2
158 - obj_pizzacutterthwomp1
159 - obj_throwableparent
160 - obj_keydoor
161 - obj_breakabledoor
162 - obj_goldendoor
163 - obj_doorblocked
164 - obj_startgate
165 - obj_door
166 - obj_boxofpizza
167 - obj_hallway
168 - obj_door2
169 - obj_doorA
170 - obj_doorB
171 - obj_doorC
172 - obj_doorD
173 - obj_swordstone
174 - obj_pizzacutter1
175 - obj_pizzacutter2
176 - obj_thunder
177 - obj_destructibleplatform
178 - obj_boilingsauce
179 - obj_risingboilingsauce
180 - obj_noisetrap_rock
181 - obj_dashpad
182 - obj_tntblock
183 - obj_rockblock
184 - obj_noiserock
185 - obj_boulder
186 - obj_noisedynamite
187 - obj_freemilk
188 - obj_motocycle
189 - obj_haystack
190 - obj_noisehotair
191 - obj_noisematch
192 - obj_grabbiehand
193 - obj_boxcrusher
194 - obj_cheeseblob
195 - obj_cheesemaker
196 - obj_railv
197 - obj_railh2
198 - obj_railh
199 - obj_hook
200 - obj_hookup
201 - obj_hookleft
202 - obj_barrelspawner
203 - obj_transformbarrelspawner
204 - obj_transformbarrel
205 - obj_barrel
206 - obj_barrelfloat
207 - obj_tomatoblock
208 - obj_washingmachinemount
209 - obj_baddiegibs
210 - obj_washingmachine
211 - obj_wooddebris
212 - obj_slapstar
213 - obj_pizzadebris
214 - obj_debris
215 - obj_dripspawner
216 - object189
217 - obj_knightdebris
218 - obj_boxxeddebris
219 - obj_glassdebris
220 - obj_vomit
221 - obj_slimedebris
222 - obj_metaldebris
223 - obj_drip
224 - obj_skateboarddebris1
225 - obj_lock
226 - obj_pizzaloss
227 - obj_skateboarddebris2
228 - obj_parentparticle
229 - obj_tntblockdebris
230 - obj_vsscreen
231 - obj_goalsign
232 - obj_siren
233 - obj_exitdoorsign
234 - obj_plusseconds
235 - obj_ranksign
236 - obj_donesign
237 - obj_Hranksign
238 - obj_press
239 - obj_uparrow
240 - obj_creditimages
241 - obj_leveltitles
242 - obj_retry
243 - obj_exit
244 - obj_easy
245 - obj_100
246 - obj_80
247 - obj_40
248 - obj_20
249 - obj_smallnumber
250 - obj_cowboyhat
251 - obj_Opeppino
252 - obj_itspizzatime
253 - obj_ballgoal
254 - obj_noisesatellite
255 - obj_glassblock
256 - obj_tutorialtrap
257 - obj_crashingplane
258 - obj_crashplaneblock
259 - obj_pizzaballblock
260 - obj_lamp
261 - obj_lightlamp
262 - obj_daynight
263 - obj_speedlines
264 - obj_pizzaportalfade
265 - obj_angrycloud
266 - obj_sweat
267 - obj_balloonpop
268 - obj_bulletimpact
269 - obj_bulletdisappear
270 - obj_chargeeffect
271 - obj_pogoeffect
272 - obj_chainsaweffect
273 - obj_explosioneffect
274 - obj_pistoleffect
275 - obj_shotgunjumpeffect
276 - obj_superslameffect
277 - obj_spikehurteffect
278 - obj_stompeffect
279 - obj_jumpdust
280 - obj_superdashcloud
281 - obj_highjumpcloud1
282 - obj_highjumpcloud2
283 - obj_grindeffect
284 - obj_punchdust
285 - obj_fadeout
286 - obj_endlevelfade
287 - obj_bossdefeatflash
288 - obj_bangeffect
289 - obj_blackbars
290 - obj_bumpeffect
291 - obj_keyeffect
292 - obj_doortransition
293 - obj_doortransitionend
294 - obj_doortransition2
295 - obj_slidecloud
296 - obj_landcloud
297 - obj_dashcloud
298 - obj_dashcloud2
299 - obj_cloudeffect
300 - obj_machalleffect
301 - obj_mach3effect
302 - obj_crazyruneffect
303 - obj_crazyrunothereffect
304 - obj_taunteffect
305 - obj_tauntafterimage
306 - obj_tauntaftereffectspawner
---------------------- ROOMS ----------------------
0 - hub_room1
1 - entrance_1
2 - entrance_2
3 - entrance_3
4 - entrance_4
5 - entrance_5
6 - entrance_6
7 - medieval_1
8 - medieval_secret1
9 - medieval_2
10 - medieval_secret2
11 - medieval_3
12 - medieval_secret3
13 - medieval_4
14 - medieval_secret4
15 - medieval_5
16 - medieval_treasure
17 - medieval_6
18 - medieval_secret5
19 - medieval_7
20 - medieval_8
21 - medieval_9
22 - medieval_secret6
23 - medieval_10
24 - ruin_1
25 - ruin_2
26 - ruin_3
27 - ruin_secret1
28 - ruin_4
29 - ruin_5
30 - ruin_6
31 - ruin_secret2
32 - ruin_7
33 - ruin_secret3
34 - ruin_8
35 - ruin_treasure
36 - ruin_9
37 - ruin_secret4
38 - ruin_10
39 - ruin_secret5
40 - ruin_11
41 - ruin_secret6
42 - dungeon_1
43 - dungeon_2
44 - dungeon_secret1
45 - dungeon_3
46 - dungeon_4
47 - dungeon_secret2
48 - dungeon_5
49 - dungeon_secret3
50 - dungeon_6
51 - dungeon_secret4
52 - dungeon_7
53 - dungeon_treasure
54 - dungeon_8
55 - dungeon_secret5
56 - dungeon_9
57 - dungeon_secret6
58 - dungeon_10
59 - floor1_room0
60 - floor1_room2
61 - floor1_room3
62 - floor1_mart1
63 - floor1_mart2
64 - floor1_room4
65 - floor1_roomball
66 - floor1_room6
67 - floor1_room6b
68 - floor1_room5
69 - floor1_room1
70 - floor1_room7
71 - floor1_roomtreasure
72 - floor1_room8
73 - floor1_room8a
74 - floor1_room8b
75 - floor1_room9
76 - floor1_room10
77 - floor1_room11
78 - floor1_room12
79 - floor1_room13
80 - floor1_secret1
81 - floor1_secret2
82 - floor1_secret3
83 - floor1_secret4
84 - floor1_secret5
85 - floor1_secret6
86 - floor1_secret7
87 - floor1_roomportal
88 - Realtitlescreen
89 - Scootertransition
90 - Titlescreen
91 - Tutorialtrap
92 - timesuproom
93 - boss_room1
94 - rank_room
95 - golf_room1
96 - golf_room2
97 - golf_room3
98 - golf_room4
99 - golf_room5
100 - golf_room6
101 - golf_room7
102 - golf_roomportal
103 - golf_roomtreasure
104 - floor4_room0
105 - floor4_room1
106 - floor4_room2
107 - floor4_room3
108 - floor4_room4
109 - floor4_room5
110 - floor4_room6
111 - floor4_room7
112 - floor4_room8
113 - floor4_room9
114 - floor4_roomportal
115 - floor4_roomtreasure
116 - floor5_room1
117 - floor5_room2
118 - floor5_room3
119 - floor5_room4
120 - floor5_room5
121 - floor5_room6
122 - floor5_room7
123 - floor5_room8
124 - floor5_room9
125 - floor5_room10
126 - floor5_roomportal
127 - floor5_roomtreasure
128 - floor3_room0
129 - floor3_room1
130 - floor3_room2B
131 - floor3_room2A
132 - floor3_room2A3
133 - floor3_room2A2
134 - floor3_room3
135 - floor3_room4
136 - floor3_roomball
137 - floor3_room5
138 - floor3_room6
139 - floor3_room7
140 - floor3_room8
141 - floor3_room9
142 - floor3_roomportal
143 - floor3_roomtreasure
144 - floor2_room9
145 - floor2_room9a
146 - floor2_secret1
147 - floor2_room10
148 - floor2_room11
149 - floor2_room12
150 - floor2_room13
151 - floor2_room14
152 - floor2_room0
153 - floor2_room0b
154 - floor2_room0a
155 - floor2_room1
156 - floor2_secret2
157 - floor2_room2
158 - floor2_room3
159 - floor2_roompepperman
160 - floor2_room3a
161 - floor2_secret3
162 - floor2_room4
163 - floor2_roomball
164 - floor2_room5
165 - floor2_room7
166 - floor2_room7a
167 - floor2_room8
168 - floor2_roomportal
169 - floor2_roomtreasure
170 - PP_room1
171 - PP_room2
172 - PP_room3
173 - PP_room4
174 - PP_room5
175 - PP_room7
176 - PP_room8
177 - PP_room9
178 - PP_room10
179 - PP_room11
180 - PP_room12
181 - PP_room13
182 - PP_room14
--------------------- SOUNDS ---------------------
0 - sfx_jump
1 - sfx_becomeknight
2 - sfx_explosion
3 - sfx_breakblock1
4 - sfx_breakblock2
5 - sfx_collecttopping
6 - sfx_collectgiantpizza
7 - sfx_collecttoppin
8 - sfx_enemyprojectile
9 - sfx_secretfound
10 - sfx_pephurt
11 - sfx_killenemy
12 - sfx_stompenemy
13 - sfx_machpunch
14 - sfx_killingblow
15 - sfx_groundpound
16 - sfx_bumpwall
17 - sfx_loseknight
18 - sfx_superjumpprep
19 - sfx_superjumphold
20 - sfx_superjumprelease
21 - sfx_noisewoah
22 - sfx_level100percent
23 - sfx_mach1
24 - sfx_machroll
25 - sfx_mach2
26 - sfx_mach3
27 - sfx_machslide
28 - sfx_comboend
29 - sfx_step
30 - sfx_hitenemy
31 - sfx_escaperumble
32 - sfx_collectpizza
33 - mu_desert
34 - mu_ufo
35 - mu_pizzatime
36 - mu_hub
37 - mu_secret
38 - mu_chase
39 - mu_entrance
40 - mu_medieval
41 - mu_ranks
42 - mu_ranka
43 - mu_rankb
44 - mu_rankc
45 - mu_rankd
46 - mu_timesup
47 - mu_dungeon
------------------- BACKGROUNDS -------------------
0 - tile_wallrun_tileset
1 - tile_pressany_tileset
2 - tile_grab_tileset
3 - tile_superjumphold_tileset
4 - tile_maxspeedsign_tileset
5 - tile_grabsign_tileset
6 - tile_tutorialsign_tileset
7 - tile_tutorialimage_tileset
8 - tile_tutorial_tileset
9 - tile_factory_tileset
10 - tile_bigrocks_tileset
11 - tile_desert_tileset
12 - tile_cavern_tileset
13 - tile_ufo_tileset
14 - tile_pizzamart
15 - bg_grindrail_tileset
16 - tile_table_tileset
17 - tile_castle_tileset
18 - tile_keysign_tileset
19 - tile_stairs_tileset
20 - tile_lamp_tileset
21 - tile_plains
22 - trapscreen2_tileset
23 - bg_trapscreen_tileset
24 - bg_title_tileset
25 - tile_pepperman
26 - tile_tower_tileset
27 - tile_towerdetails_tileset
28 - tile_golf
29 - tile_ball_tileset
30 - tile_trash_tileset
31 - tile_freezer
32 - tileset_secret
--------------------- SHADERS ---------------------
0 - shd_pal_swapper
1 - shd_hit
2 - shd_panicbg
---------------------- FONTS ----------------------
0 - font0
1 - font1
---------------------- PATHS ----------------------
No Paths could be Found
-------------------- TIMELINES --------------------
No Timelines could be Found
--------------------- SCRIPTS ---------------------
0 - scr_player_barrelroll
1 - scr_player_barrelslipnslide
2 - scr_player_barrelcrouch
3 - scr_player_barrelfloat
4 - scr_player_barrelmach2
5 - scr_player_barrelmach1
6 - scr_player_barrelfall
7 - scr_player_barrelnormal
8 - scr_player_boxxedpep
9 - scr_player_cheeseball
10 - scr_player_knightpepslopes
11 - scr_player_knightpepattack
12 - scr_player_knightpep
13 - scr_player_cheesepepstick
14 - scr_player_cheesepep
15 - scr_player_meteorpep
16 - scr_player_bombpep
17 - scr_player_firemouth
18 - scr_player_fireass
19 - scr_player_tumble
20 - scr_playerN_hookshot
21 - scr_player_backbreaker
22 - scr_player_slap
23 - scr_player_pistolaim
24 - scr_player_pistol
25 - scr_player_climbwall
26 - scr_player_portal
27 - scr_player_handstandjump
28 - scr_player_gottreasure
29 - scr_player_grabbing
30 - scr_player_chainsawbump
31 - scr_player_chainsawpogo
32 - scr_player_shotgunjump
33 - scr_player_chainsaw
34 - scr_player_shotgun
35 - scr_player_stunned
36 - scr_player_highjump
37 - scr_player_secondjump
38 - scr_player_facestomp
39 - scr_player_superslam
40 - scr_player_gameover
41 - scr_player_timesup
42 - scr_player_machroll
43 - scr_player_machfreefall
44 - scr_player_throw
45 - scr_player_grind
46 - scr_player_skateboard
47 - scr_player_slam
48 - scr_player_uppunch
49 - scr_player_shoulder
50 - scr_player_backkick
51 - scr_player_punch
52 - scr_player_tacklecharge
53 - scr_player_grab
54 - scr_player_bossdefeat
55 - scr_player_bossintro
56 - scr_player_smirk
57 - scr_player_pizzathrow
58 - scr_player_runonball
59 - scr_player_boulder
60 - scr_player_current
61 - scr_player_keyget
62 - scr_player_hang
63 - scr_player_tackle
64 - scr_player_ladder
65 - scr_player_victory
66 - scr_player_comingoutdoor
67 - scr_player_Sjumpprep
68 - scr_player_Sjump
69 - scr_player_Sjumpland
70 - scr_player_door
71 - scr_player_hurt
72 - scr_player_freefall
73 - scr_player_freefallland
74 - scr_player_freefallprep
75 - scr_player_bump
76 - scr_player_machslide
77 - scr_player_mach3
78 - scr_player_mach2
79 - scr_player_mach1
80 - scr_player_slipnslide
81 - scr_player_crouchslide
82 - scr_player_crouchjump
83 - scr_player_crouch
84 - scr_player_jump
85 - scr_player_normal
86 - scr_player_titlescreen
87 - scr_player_transitioncutscene
88 - scr_player_ejected
89 - scr_player_finishingblow
90 - scr_enemy_grabbed
91 - scr_enemy_charge
92 - scr_pizzagoblin_throw
93 - scr_enemy_stun
94 - scr_enemy_turn
95 - scr_enemy_hit
96 - scr_enemy_land
97 - scr_enemy_walk
98 - scr_enemy_bounce
99 - scr_enemy_idle
100 - pal_swap_draw_palette
101 - pal_swap_enable_override
102 - pal_swap_get_pal_color
103 - pal_swap_get_pal_count
104 - pal_swap_init_system
105 - pal_swap_reset
106 - pal_swap_set
107 - wrap
108 - pal_swap_index_palette
109 - pal_swap_set_tiles
110 - pal_swap_get_color_count
111 - scr_slope
112 - scr_solid
113 - scr_solid_player
114 - scr_collide
115 - scr_collide_player
116 - scr_collide_destructibles
117 - action_kill_object
118 - __init_action
119 - draw_background_tiled
120 - __background_get
121 - __background_get_element
122 - __background_get_internal
123 - __background_set
124 - __background_set_element
125 - __background_set_internal
126 - __init_background
127 - draw_set_blend_mode
128 - instance_create
129 - object_get_depth
130 - texture_set_interpolation_ext
131 - tile_layer_delete_at
132 - tile_layer_find
133 - tile_layer_hide
134 - tile_layer_show
135 - __view_get
136 - __view_set
137 - __view_set_internal
138 - __init_view
139 - __init_global
140 - __global_object_depths
141 - scr_panicbg_init
142 - scr_panicbg_start
143 - scr_panicbg_end
144 - scr_initinput
145 - scr_initinput2
146 - scr_sleep
147 - scr_playerreset
148 - scr_sound
149 - scr_soundeffect
150 - scr_getinput
151 - scr_getinput2
152 - scr_characterspr
153 - scr_checkanygamepad
154 - scr_fakepeppino_idle
155 - scr_fakepeppino_jump
156 - scr_fakepeppino_hit
157 - scr_fakepeppino_walk
158 - scr_keyname
-------------------- EXTENSIONS --------------------
No Extensions could be Found
